 0.4957932E-03 at R=8Mpc/h  0.1995316E-05 at Rsmooth=   130.    
 #   k/h   P(k)
   0.451350E+02   0.252238E-05
   0.460469E+02   0.238839E-05
   0.469770E+02   0.226145E-05
   0.479261E+02   0.214122E-05
   0.488942E+02   0.202733E-05
   0.498820E+02   0.191945E-05
   0.508896E+02   0.181727E-05
   0.519177E+02   0.172049E-05
   0.529665E+02   0.162883E-05
   0.540365E+02   0.154201E-05
   0.551281E+02   0.145978E-05
   0.562417E+02   0.138191E-05
   0.573779E+02   0.130816E-05
   0.585370E+02   0.123831E-05
   0.597195E+02   0.117217E-05
   0.609260E+02   0.110953E-05
   0.621568E+02   0.105022E-05
   0.634124E+02   0.994047E-06
   0.646934E+02   0.940858E-06
   0.660003E+02   0.890492E-06
   0.673336E+02   0.842802E-06
   0.686938E+02   0.797645E-06
   0.700816E+02   0.754888E-06
   0.714973E+02   0.714404E-06
   0.729416E+02   0.676074E-06
   0.744151E+02   0.639784E-06
   0.759184E+02   0.605425E-06
   0.774521E+02   0.572896E-06
   0.790167E+02   0.542100E-06
   0.806129E+02   0.512945E-06
   0.822415E+02   0.485345E-06
   0.839028E+02   0.459217E-06
   0.855978E+02   0.434482E-06
   0.873269E+02   0.411068E-06
   0.890911E+02   0.388905E-06
   0.908908E+02   0.367925E-06
   0.927270E+02   0.348066E-06
   0.946001E+02   0.329269E-06
   0.965112E+02   0.311478E-06
   0.984608E+02   0.294638E-06
   0.100450E+03   0.278700E-06
   0.102479E+03   0.263615E-06
   0.104549E+03   0.249338E-06
   0.106661E+03   0.235826E-06
   0.108816E+03   0.223039E-06
   0.111014E+03   0.210938E-06
   0.113257E+03   0.199485E-06
   0.115545E+03   0.188648E-06
   0.117879E+03   0.178393E-06
   0.120260E+03   0.168689E-06
   0.122690E+03   0.159506E-06
   0.125168E+03   0.150817E-06
   0.127697E+03   0.142596E-06
   0.130277E+03   0.134817E-06
   0.132908E+03   0.127457E-06
   0.135593E+03   0.120493E-06
   0.138332E+03   0.113905E-06
   0.141127E+03   0.107672E-06
   0.143978E+03   0.101775E-06
   0.146886E+03   0.961971E-07
   0.149854E+03   0.909200E-07
   0.152881E+03   0.859280E-07
   0.155969E+03   0.812060E-07
   0.159120E+03   0.767394E-07
   0.162334E+03   0.725145E-07
   0.165614E+03   0.685184E-07
   0.168960E+03   0.647388E-07
   0.172373E+03   0.611641E-07
   0.175855E+03   0.577834E-07
   0.179407E+03   0.545861E-07
   0.183032E+03   0.515625E-07
   0.186729E+03   0.487033E-07
   0.190501E+03   0.459995E-07
   0.194350E+03   0.434429E-07
   0.198276E+03   0.410256E-07
   0.202281E+03   0.387399E-07
   0.206368E+03   0.365790E-07
   0.210536E+03   0.345360E-07
   0.214790E+03   0.326046E-07
   0.219129E+03   0.307788E-07
   0.223555E+03   0.290529E-07
   0.228071E+03   0.274215E-07
   0.232679E+03   0.258795E-07
   0.237379E+03   0.244221E-07
   0.242175E+03   0.230448E-07
   0.247067E+03   0.217432E-07
   0.252058E+03   0.205132E-07
   0.257150E+03   0.193509E-07
   0.262345E+03   0.182528E-07
   0.267644E+03   0.172153E-07
   0.273051E+03   0.162351E-07
   0.278567E+03   0.153092E-07
   0.284195E+03   0.144345E-07
   0.289936E+03   0.136084E-07
   0.295793E+03   0.128282E-07
   0.301768E+03   0.120914E-07
   0.307864E+03   0.113957E-07
   0.314084E+03   0.107388E-07
   0.320428E+03   0.101186E-07
   0.326902E+03   0.953309E-08
   0.333505E+03   0.898043E-08
   0.340243E+03   0.845882E-08
   0.347116E+03   0.796656E-08
   0.354128E+03   0.750204E-08
   0.361282E+03   0.706377E-08
   0.368581E+03   0.665030E-08
   0.376026E+03   0.626028E-08
   0.383623E+03   0.589242E-08
   0.391372E+03   0.554551E-08
   0.399279E+03   0.521841E-08
   0.407344E+03   0.491002E-08
   0.415573E+03   0.461932E-08
   0.423968E+03   0.434533E-08
   0.432533E+03   0.408713E-08
   0.441271E+03   0.384385E-08
   0.450185E+03   0.361466E-08
   0.459279E+03   0.339878E-08
   0.468558E+03   0.319548E-08
   0.478023E+03   0.300404E-08
   0.487680E+03   0.282382E-08
   0.497532E+03   0.265418E-08
   0.507582E+03   0.249454E-08
   0.517837E+03   0.234433E-08
   0.528297E+03   0.220302E-08
   0.538970E+03   0.207010E-08
   0.549857E+03   0.194510E-08
   0.560966E+03   0.182756E-08
   0.572298E+03   0.171706E-08
   0.583859E+03   0.161319E-08
   0.595653E+03   0.151557E-08
   0.607687E+03   0.142386E-08
   0.619962E+03   0.133772E-08
   0.632487E+03   0.125683E-08
   0.645264E+03   0.118087E-08
   0.658299E+03   0.110954E-08
   0.671597E+03   0.104255E-08
   0.685165E+03   0.979611E-09
