#           k/h    P           
   0.498820E+02   0.102220E-03
   0.508896E+02   0.100149E-03
   0.519177E+02   0.983883E-04
   0.529665E+02   0.967929E-04
   0.540365E+02   0.952282E-04
   0.551281E+02   0.935681E-04
   0.562417E+02   0.917331E-04
   0.573779E+02   0.897565E-04
   0.585370E+02   0.876892E-04
   0.597195E+02   0.855783E-04
   0.609260E+02   0.834674E-04
   0.621568E+02   0.813899E-04
   0.634124E+02   0.793589E-04
   0.646934E+02   0.773829E-04
   0.660003E+02   0.754699E-04
   0.673336E+02   0.736266E-04
   0.686938E+02   0.718515E-04
   0.700816E+02   0.701211E-04
   0.714973E+02   0.684105E-04
   0.729416E+02   0.666971E-04
   0.744151E+02   0.649604E-04
   0.759184E+02   0.632047E-04
   0.774521E+02   0.614959E-04
   0.790167E+02   0.599041E-04
   0.806129E+02   0.584919E-04
   0.822415E+02   0.573166E-04
   0.839028E+02   0.563925E-04
   0.855978E+02   0.556229E-04
   0.873269E+02   0.548974E-04
   0.890911E+02   0.541117E-04
   0.908908E+02   0.531678E-04
   0.927270E+02   0.520167E-04
   0.946001E+02   0.507321E-04
   0.965112E+02   0.494032E-04
   0.984608E+02   0.481112E-04
   0.100450E+03   0.469290E-04
   0.102479E+03   0.458959E-04
   0.104549E+03   0.449719E-04
   0.106661E+03   0.441074E-04
   0.108816E+03   0.432563E-04
   0.111014E+03   0.423763E-04
   0.113257E+03   0.414411E-04
   0.115545E+03   0.404623E-04
   0.117879E+03   0.394574E-04
   0.120260E+03   0.384424E-04
   0.122690E+03   0.374319E-04
   0.125168E+03   0.364430E-04
   0.127697E+03   0.355009E-04
   0.130277E+03   0.346304E-04
   0.132908E+03   0.338535E-04
   0.135593E+03   0.331908E-04
   0.138332E+03   0.326503E-04
   0.141127E+03   0.322089E-04
   0.143978E+03   0.318398E-04
   0.146886E+03   0.315179E-04
